Feb 21, 0310 PST
Current validators of subnet 18 sorted by their stakes:
Rank: 1, UID: 244, Stake: 1233460.25 tao
Rank: 2, UID: 0, Stake: 644943.75 tao
Rank: 3, UID: 103, Stake: 511534.03125 tao
Rank: 4, UID: 117, Stake: 488210.6875 tao
Rank: 5, UID: 26, Stake: 414406.15625 tao
Rank: 6, UID: 81, Stake: 367687.9375 tao
Rank: 7, UID: 1, Stake: 284631.25 tao
Rank: 8, UID: 144, Stake: 264543.84375 tao
Rank: 9, UID: 224, Stake: 233272.09375 tao
Rank: 10, UID: 109, Stake: 111558.875 tao
Rank: 11, UID: 214, Stake: 99165.359375 tao
Rank: 12, UID: 14, Stake: 89151.5 tao
Rank: 13, UID: 174, Stake: 76377.765625 tao
Rank: 14, UID: 7, Stake: 59610.39453125 tao
Rank: 15, UID: 107, Stake: 58343.8515625 tao
Rank: 16, UID: 16, Stake: 52625.22265625 tao
Rank: 17, UID: 104, Stake: 47900.35546875 tao
Rank: 18, UID: 25, Stake: 45442.015625 tao
Rank: 19, UID: 135, Stake: 41315.53125 tao
Rank: 20, UID: 113, Stake: 25416.943359375 tao
Rank: 21, UID: 251, Stake: 21929.5625 tao
Rank: 22, UID: 206, Stake: 106.16793060302734 tao
Rank: 23, UID: 72, Stake: 46.371578216552734 tao
Rank: 24, UID: 42, Stake: 36.192386627197266 tao
Rank: 25, UID: 22, Stake: 32.5140380859375 tao
Rank: 26, UID: 59, Stake: 29.73757553100586 tao
Rank: 27, UID: 75, Stake: 26.729625701904297 tao
Rank: 28, UID: 35, Stake: 23.65825653076172 tao
Rank: 29, UID: 242, Stake: 17.398714065551758 tao
Rank: 30, UID: 119, Stake: 13.187213897705078 tao
Rank: 31, UID: 210, Stake: 10.997530937194824 tao
Rank: 32, UID: 149, Stake: 8.89533519744873 tao
Rank: 33, UID: 229, Stake: 7.447720050811768 tao
Rank: 34, UID: 164, Stake: 7.262981414794922 tao
Rank: 35, UID: 199, Stake: 7.082278251647949 tao
Rank: 36, UID: 38, Stake: 7.050959587097168 tao
Rank: 37, UID: 78, Stake: 7.014212131500244 tao
Rank: 38, UID: 254, Stake: 6.913606643676758 tao
Rank: 39, UID: 201, Stake: 6.859397888183594 tao
Rank: 40, UID: 243, Stake: 6.846686840057373 tao
Rank: 41, UID: 249, Stake: 6.807043075561523 tao
Rank: 42, UID: 89, Stake: 6.805333614349365 tao
Rank: 43, UID: 221, Stake: 6.7794108390808105 tao
Rank: 44, UID: 195, Stake: 6.7719855308532715 tao
Rank: 45, UID: 184, Stake: 6.756480693817139 tao
Rank: 46, UID: 45, Stake: 6.7338690757751465 tao
Rank: 47, UID: 70, Stake: 6.651217937469482 tao
Rank: 48, UID: 162, Stake: 6.520410537719727 tao
Rank: 49, UID: 74, Stake: 6.0085368156433105 tao
Rank: 50, UID: 204, Stake: 5.32165002822876 tao
Rank: 51, UID: 53, Stake: 5.272724151611328 tao
